# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from agora:
# Omega_m = 0.272, Omega_l = 0.728, Omega_b = 0.0455, 
# h = 0.702, sigma_8 = 0.807, n_s = 0.961
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
393 0.684713423  0.460465074  9.019328686  4.779418197  25.8147
394 0.686305702  0.457076669  9.045129815  4.753617068  25.8011
395 0.687898099  0.453703642  9.070921157  4.727825727  25.7913
396 0.689490378  0.450346589  9.096698727  4.702048157  25.7776
397 0.691082776  0.447004676  9.122466264  4.676280619  25.7675
398 0.692675173  0.443678141  9.148221718  4.650525165  25.7555
399 0.694267511  0.440366983  9.173964006  4.624782878  25.7423
400 0.695859909  0.437070847  9.199694937  4.599051947  25.7309
401 0.697452188  0.433790088  9.225411504  4.573335379  25.7166
402 0.699044585  0.430523872  9.251117444  4.547629440  25.7059
403 0.700636923  0.427272797  9.276809752  4.521937131  25.6923
404 0.702229321  0.424036264  9.302490239  4.496256644  25.6805
405 0.703821719  0.420814395  9.328157830  4.470589054  25.6676
406 0.705413997  0.417607307  9.353810491  4.444936392  25.6527
407 0.707006395  0.414414406  9.379451954  4.419294929  25.6415
408 0.708598673  0.411236048  9.405078269  4.393668614  25.6263
409 0.710191071  0.408071756  9.430693165  4.368053719  25.6149
410 0.711783409  0.404921770  9.456293655  4.342453228  25.6005
411 0.713375807  0.401785731  9.481881550  4.316865333  25.5879
412 0.714968204  0.398663640  9.507455785  4.291291098  25.5742
413 0.716560483  0.395555615  9.533014342  4.265732541  25.5586
414 0.718152881  0.392461181  9.558560944  4.240185940  25.5466
415 0.719745219  0.389380574  9.584092618  4.214654266  25.5317
416 0.721337616  0.386313438  9.609611173  4.189135710  25.5186
417 0.722929895  0.383260012  9.635113644  4.163633240  25.5025
418 0.724522293  0.380219817  9.660603749  4.138143135  25.4901
419 0.726114571  0.377193093  9.686077572  4.112669311  25.4738
420 0.727707028  0.374179363  9.711539782  4.087207101  25.4622
421 0.729299426  0.371178865  9.736986468  4.061760415  25.4467
422 0.730891705  0.368191719  9.762416584  4.036330299  25.4301
423 0.732484102  0.365217328  9.787833842  4.010913042  25.4173
424 0.734076381  0.362256050  9.813234341  3.985512542  25.4005
425 0.735668778  0.359307408  9.838621792  3.960125091  25.3875
426 0.737261117  0.356371522  9.863993251  3.934753633  25.3715
427 0.738853514  0.353448272  9.889350524  3.909396360  25.3573
428 0.740445912  0.350537539  9.914692572  3.884054312  25.3420
429 0.742038190  0.347639561  9.940017408  3.858729475  25.3248
430 0.743630588  0.344753742  9.965328737  3.833418147  25.3113
431 0.745222926  0.341880322  9.990623627  3.808123257  25.2949
432 0.746815324  0.339019179 10.015903884  3.782843000  25.2803
433 0.748407602  0.336170316 10.041166584  3.757580299  25.2627
434 0.750000000  0.333333373 10.066415425  3.732331458  25.2488
435 0.751592398  0.330508351 10.091648431  3.707098453  25.2330
436 0.753184676  0.327695608 10.116863630  3.681883253  25.2152
437 0.754777074  0.324894547 10.142064716  3.656682167  25.2011
438 0.756369412  0.322105289 10.167248776  3.631498108  25.1841
439 0.757961810  0.319327712 10.192417614  3.606329269  25.1688
440 0.759554088  0.316561937 10.217568326  3.581178557  25.1507
441 0.761146486  0.313807607 10.242704598  3.556042286  25.1363
442 0.762738883  0.311064720 10.267824467  3.530922416  25.1199
443 0.764331222  0.308333278 10.292926918  3.505819965  25.1025
444 0.765923619  0.305613160 10.318013753  3.480733130  25.0868
445 0.767515898  0.302904606 10.343082080  3.455664803  25.0683
446 0.769108295  0.300207019 10.368135578  3.430611305  25.0535
447 0.770700574  0.297520757 10.393170422  3.405576462  25.0348
448 0.772292972  0.294845343 10.418190286  3.380556597  25.0199
449 0.773885429  0.292180896 10.443194160  3.355552723  25.0039
450 0.775477707  0.289527774 10.468178231  3.330568653  24.9841
451 0.777070105  0.286885142 10.493147104  3.305599780  24.9689
452 0.778662384  0.284253597 10.518096971  3.280649913  24.9499
453 0.780254781  0.281632662 10.543031499  3.255715384  24.9345
454 0.781847119  0.279022455 10.567947819  3.230799064  24.9163
455 0.783439517  0.276422739 10.592847729  3.205899155  24.8999
456 0.785031796  0.273833752 10.617728366  3.181018517  24.8806
457 0.786624193  0.271255136 10.642593391  3.156153492  24.8650
458 0.788216591  0.268686771 10.667440875  3.131306008  24.8475
459 0.789808929  0.266129017 10.692269825  3.106477058  24.8289
460 0.791401327  0.263581395 10.717082035  3.081664848  24.8122
461 0.792993605  0.261044264 10.741874659  3.056872225  24.7926
462 0.794586003  0.258517027 10.766651345  3.032095539  24.7767
463 0.796178281  0.256000042 10.791408323  3.007338560  24.7570
464 0.797770679  0.253493071 10.816149241  2.982597643  24.7409
465 0.799363077  0.250995994 10.840872183  2.957874701  24.7229
466 0.800955415  0.248508930 10.865576166  2.933170717  24.7040
467 0.802547812  0.246031642 10.890262983  2.908483901  24.6868
468 0.804140091  0.243564367 10.914929803  2.883817080  24.6668
469 0.805732489  0.241106749 10.939580264  2.859166619  24.6505
470 0.807324827  0.238658786 10.964211541  2.834535342  24.6313
