# 601 snapshots
# linear spacing in scale-factor
# times assume cosmology from planck2015:
# Omega_m = 0.31, Omega_l = 0.69, Omega_b = 0.048,
# h = 0.68, sigma_8 = 0.82, n_s = 0.97
# i scale-factor redshift time[Gyr] lookback-time[Gyr] time-width[Myr]
266 0.482539713  1.072368383  5.554260700  8.181955322  25.4607
267 0.484127015  1.065573692  5.579738106  8.156477917  25.4774
268 0.485714287  1.058823586  5.605231539  8.130984483  25.4934
269 0.487301588  1.052117348  5.630741717  8.105474305  25.5102
270 0.488888890  1.045454502  5.656267919  8.079948103  25.5262
271 0.490476191  1.038835049  5.681809906  8.054406117  25.5420
272 0.492063493  1.032258034  5.707367437  8.028848585  25.5575
273 0.493650794  1.025723457  5.732940274  8.003275748  25.5728
274 0.495238096  1.019230843  5.758528179  7.977687843  25.5879
275 0.496825397  1.012779474  5.784130914  7.952085108  25.6027
276 0.498412699  1.006369352  5.809748242  7.926467780  25.6173
277 0.500000000  1.000000000  5.835379928  7.900836094  25.6317
278 0.501592398  0.993650675  5.861108097  7.875107926  25.7282
279 0.503184676  0.987341881  5.886848313  7.849367709  25.7402
280 0.504777074  0.981072545  5.912604196  7.823611826  25.7559
281 0.506369412  0.974842787  5.938372618  7.797843404  25.7684
282 0.507961810  0.968651891  5.964155274  7.772060749  25.7827
283 0.509554088  0.962500215  5.989949033  7.746266989  25.7938
284 0.511146486  0.956386328  6.015757524  7.720458498  25.8085
285 0.512738883  0.950310469  6.041578585  7.694637437  25.8211
286 0.514331222  0.944272399  6.067411017  7.668805006  25.8324
287 0.515923619  0.938271403  6.093256521  7.642959501  25.8455
288 0.517515898  0.932307839  6.119111965  7.617104057  25.8554
289 0.519108295  0.926380277  6.144980992  7.591235031  25.8690
290 0.520700574  0.920489550  6.170859498  7.565356524  25.8785
291 0.522292972  0.914634228  6.196751132  7.539464891  25.8916
292 0.523885429  0.908814311  6.222654698  7.513561325  25.9036
293 0.525477707  0.903030276  6.248566090  7.487649932  25.9114
294 0.527070105  0.897280812  6.274489933  7.461726089  25.9238
295 0.528662384  0.891566396  6.300422120  7.435793902  25.9322
296 0.530254781  0.885885835  6.326366310  7.409849712  25.9442
297 0.531847119  0.880239606  6.352319367  7.383896655  25.9531
298 0.533439517  0.874626756  6.378283012  7.357933011  25.9636
299 0.535031796  0.869047761  6.404254106  7.331961916  25.9711
300 0.536624193  0.863501549  6.430236318  7.305979704  25.9822
301 0.538216591  0.857988119  6.456227484  7.279988538  25.9912
302 0.539808929  0.852507353  6.482226412  7.253989610  25.9989
303 0.541401327  0.847058654  6.508234829  7.227981194  26.0084
304 0.542993605  0.841642261  6.534249596  7.201966426  26.0148
305 0.544586003  0.836257219  6.560274394  7.175941629  26.0248
306 0.546178281  0.830904007  6.586305108  7.149910914  26.0307
307 0.547770679  0.825581431  6.612345423  7.123870600  26.0403
308 0.549363077  0.820289850  6.638393174  7.097822848  26.0478
309 0.550955415  0.815028906  6.664447175  7.071768848  26.0540
310 0.552547812  0.809798121  6.690509161  7.045706861  26.0620
